I'm too short.	Я слишком низкий.
She is capable of teaching English.	Она может обучать английскому.
I lost my entire family.	Я потерял всю семью.
What's wrong with this?	Что в этом плохого?
I know that Tom is replaceable.	Я знаю, что Том заменим.
Tom wasn't the one who helped me.	Мне не Том помог.
I still have a lot to do.	У меня ещё много дел.
The baby was shaking the rattle.	Младенец тряс погремушку.
I won't go anywhere without you.	Я без тебя никуда не пойду.
Who told you I was Canadian?	Кто тебе сказал, что я канадец?
Tom wasn't the only man in the room.	Том был не единственным мужчиной в комнате.
You're taller than your father.	Ты выше отца.
I'm not hungry anymore.	Я больше есть не хочу.
Tom likes hunting.	Том любит охотиться.
What is it you're doing?	Что это ты делаешь?
Tom and Mary both failed the exam.	Том и Мэри оба завалили экзамен.
This is a public beach.	Это общественный пляж.
You're photogenic.	Ты фотогенична.
We can't deny the fact that he's honest.	Мы не можем отрицать, что он честен.
Excuse me, could you pass me the salt and pepper?	Извините, не могли бы Вы передать мне соль и перец?
Don't make me suffer.	Не заставляйте меня страдать.
I'll vote for you.	Я буду голосовать за вас.
Can you and I talk?	Мы с Вами можем поговорить?
The worst is still to come.	Это ещё цветочки.
That's not what Tom and I were doing.	Мы с Томом делали не это.
He came into my room.	Он вошёл в мою комнату.
It's non-refundable.	Деньги за это не возвращаются.
His oldest son is not married.	Его старший сын не женат.
They admired the scenic view from the hill.	Они любовались живописным видом с холма.
A lot of policemen guarded the hall.	Зал охраняло множество полицейских.
Do you want to rest?	Хотите отдохнуть?
Tell them what happened.	Расскажите им, что произошло.
Tom didn't leave me much choice.	Том не оставил мне особого выбора.
I'm not very good at basketball.	Я не очень хорошо играю в баскетбол.
Put the car in low to climb the hill.	Переведите машину на нижнюю передачу, чтобы подняться на холм.
Were you disobedient?	Ты был непослушным?
Are you going to come back?	Вы собираетесь возвращаться?
Tom and I are unlikely to get married.	Вряд ли мы с Томом поженимся.
Tom has nothing to do with this.	Том не имеет к этому никакого отношения.
Since I was sick for a week, I am making every possible effort to catch up.	Поскольку я неделю болел, то теперь делаю всё возможное, чтобы наверстать.
"I googled ""knife and fork"" and ""fork and knife"" to see which got more results."	"Я загуглил ""нож и вилка"" и ""вилка и нож"", чтобы посмотреть, для какого запроса будет больше результатов."
The dog came running to us.	Собака прибежала к нам.
He's perfect at everything.	Он идеален во всём.
Tom hasn't yet said anything to me about that.	Том ещё ничего мне об этом не сказал.
I regret having been rude to him.	Я сожалею, что вёл себя с ним грубо.
I don't want to help you.	Я не хочу Вам помогать.
I have a sweet-tooth.	Я сластёна.
She has a daughter whose name is Mary.	У неё есть дочь по имени Мэри.
How many people are on board?	Сколько людей на борту?
We've got a boat.	У нас есть лодка.
You're not studying hard enough.	Ты недостаточно усердно занимаешься.
Tom was flattered.	Том был польщён.
I received a letter from Tom.	Я получил письмо от Тома.
Tom fell and hurt himself.	Том упал и ушибся.
Are you sure about this?	Вы в этом уверены?
We've got nothing to prove.	Нам нечего доказывать.
He's a lovely young man.	Он славный юноша.
Tom slept in a hammock.	Том спал в гамаке.
Let me do it.	Дайте я.
Tom told me that you're famous.	Том сказал мне, что ты знаменит.
We should tell him.	Мы должны сказать об этом ему.
We need to burn all this stuff before the police get here.	Нам надо всё это сжечь, пока не приехала полиция.
How much beer did you drink?	Сколько пива вы выпили?
How far is it from here to the station?	Как далеко отсюда до станции?
I have a hangover today.	У меня сегодня похмелье.
Where did you put the screwdriver?	Куда вы положили отвёртку?
Tom was the first person to enter the cave.	Том был первым. кто вошёл в пещеру первым.
You said you could play the piano.	Вы говорили, что умеете играть на пианино.
I thought you were married.	Я думал, Вы женаты.
It doesn't taste as good as it looks.	На вкус не так чудесно, как на вид.
I didn't know you felt so bad.	Я не знал, что Вы так плохо себя чувствуете.
I'm not going to tell you her name.	Я не буду тебе говорить, как её зовут.
Tom isn't as spry as he used to be.	Том уже не так проворен, как когда-то.
His sudden visit took me by surprise.	Его внезапный приход застал меня врасплох.
Do you want to read?	Хотите почитать?
Which seats do you like?	Какие места Вам нравятся?
One of the disadvantages of living alone is that you have no one to talk to.	Один из недостатков, когда ты живешь один, - не с кем поговорить.
Are you sure everything is OK?	Ты уверена, что всё в порядке?
Tom is afraid of death.	Том боится смерти.
Japan imports a large quantity of oil.	Япония импортирует большие объёмы нефти.
I'm not going without you.	Я без вас не пойду.
What a surprise to see you here!	Какой сюрприз вас здесь увидеть!
This is the guitar I like the best.	Это моя любимая гитара.
How did your first husband die?	Как умер ваш первый муж?
Tom should've been handcuffed.	На Тома надо было надеть наручники.
I don't think that anybody suspected you weren't really Tom.	Не думаю, что кто-то заподозрил, что Вы на самом деле не Том.
Warn Tom that Mary is looking for him.	Предупреди Тома, что Мэри его ищет.
Get down.	Спускайтесь!
Tom launders money.	Том отмывает деньги.
Tom licked his lips.	Том облизал губы.
Tom couldn't find what I'd hidden.	Том не смог найти то, что я спрятал.
Tom says that he's never eaten Thai food.	Том говорит, что никогда не пробовал тайскую еду.
I returned to my native village after two years' absence.	Я вернулся в родную деревню после двухлетнего отсутствия.
I'm afraid to even ask.	Я даже спрашивать боюсь.
We simply don't know anything about Tom.	Мы попросту ничего не знаем о Томе.
I'm sure that I'm wrong.	Я уверена, что ошибаюсь.
You were a sailor, weren't you?	Ты ведь был моряком?
Tom has a bad heart.	У Тома больное сердце.
I'd like some honey.	Я хотел бы мёда.
I suspect that Tom knows this already.	Подозреваю, что Том это уже знает.
I don't think your plan will work.	Не думаю, что ваш план сработает.
Tom told me he wanted to quit.	Том сказал мне, что хочет бросить.
It is likely to rain again.	Вероятно, опять будет дождь.
I regarded Tom as a friend.	Я считал Тома другом.
The street is deserted.	Улица пустынна.
Greeks often eat fish, too.	Греки тоже едят много рыбы.
I'd do that if Tom asked me to.	Я бы сделал это, если бы Том меня попросил.
Tom is very upset with Mary.	Том очень раздосадован Мэри.
This is a great theory.	Это отличная теория.
I know Tom does that, too.	Я знаю, что Том тоже этим занимается.
My son could've died.	Мой сын мог умереть.
We've done nothing.	Мы ничего не сделали.
Tell Tom that I'm not home.	Скажите Тому, что меня нет дома.
Tom waited, but nobody came.	Том подождал, но никто не пришёл.
I'm going to have a beer.	Я собираюсь выпить пива.
His girlfriend did it for him.	Его девушка сделала это за него.
I don't want you to quit your job.	Я не хочу, чтобы вы бросали работу.
Our boss is hard to please.	Нашему начальнику трудно угодить.
Tom had to go there by himself.	Тому пришлось идти туда самому.
I have some information for Tom.	У меня есть для Тома кое-какая информация.
Tom says Mary often wins.	Том говорит, что Мэри часто выигрывает.
I was too ambitious.	Я была слишком честолюбива.
I took his name and address.	Я взял его имя и адрес.
Tom threw a pillow at Mary and the pillow hit her squarely in the face.	Том бросил в Мэри подушкой, и подушка попала ей прямо в лицо.
Tom says he can trace his ancestors back about 300 years.	Том говорит, что знает своих предков примерно на 300 лет назад.
We're heading home.	Мы направляемся домой.
He is here!	Он здесь!
Never rub your eyes when your hands are dirty.	Никогда не трите глаза, если у вас грязные руки.
I have more money than Tom.	У меня больше денег, чем у Тома.
You're not the only Canadian here.	Ты тут не единственный канадец.
Do you want to know why I lied to Tom?	Хочешь знать, почему я соврал Тому?
Maybe it wasn't so obvious.	Возможно, это было не так очевидно.
Tom didn't need to go to work today.	Тому не нужно было сегодня идти на работу.
I think that Tom is still hungry.	Думаю, Том всё ещё голоден.
Tell me where you went.	Скажи мне, куда ты ходила.
I'm glad to be alive.	Я рад, что жив.
Did Tom hit Mary?	Том ударил Мэри?
I know Tom better than anybody else.	Я знаю Тома лучше, чем кого бы то ни было.
Tom fled to Canada.	Том бежал в Канаду.
Mary sounds just like her mother.	Мэри говорит прямо как её мама.
I think that we should try again.	Думаю, нам стоит попробовать ещё раз.
Neither Tom nor Mary has come to Boston.	Ни Том, ни Мэри не приехали в Бостон.
I didn't believe it.	Я этому не поверил.
You're really hard to understand.	Тебя очень трудно понять.
He asked the officials to lift the ban.	Он обратился к властям с просьбой снять запрет.
Do you know how to do it?	Ты знаешь, как это делать?
Tom took his dog to the vet.	Том свозил свою собаку к ветеринару.
We are a family.	Мы - семья.
Come at eleven without fail.	Непременно придите в одиннадцать часов.
I forgot to show you how to do that.	Я забыл показать тебе, как это делается.
We're just friends?	Мы просто друзья?
I turned off my phone.	Я выключил свой телефон.
Why haven't I seen you here before?	Почему я вас раньше здесь не видел?
Can you buy shampoo?	Можешь купить шампунь?
I was a teacher.	Я была учителем.
When did Tom die?	Когда Том умер?
You can rely on her.	На неё можно положиться.
It's a sunny day.	День солнечный.
He must be a good walker to have walked such a long distance.	Он, должно быть, хороший ходок, раз прошёл такую дистанцию.
Tom recognized Mary by her voice.	Том узнал Мэри по голосу.
I decided to study French.	Я решил изучать французский.
I want Tom to wash the car.	Я хочу, чтобы Том помыл машину.
Tom talked to me about Mary.	Том рассказал мне о Мэри.
Tom is the only person I know who drinks imported beer.	Том — единственный из всех, кого я знаю, кто пьёт импортное пиво.
You know I can't wait any more.	Вы знаете, что больше я ждать не могу.
You must know Tom pretty well.	Ты, должно быть, прекрасно знаешь Тома.
You're so skinny.	Ты такой тощий.
We can't accept all of this.	Мы не можем всё это принять.
Tom opened the door and turned on the lights.	Том открыл дверь и зажёг свет.
Where is Tom buried?	Где похоронен Том?
I am grilling fish.	Я жарю рыбу на гриле.
We're not interested in such things.	Мы не интересуемся такими вещами.
What's your favorite kind of chewing gum?	Какая у тебя любимая жевательная резинка?
He didn't go for the idea.	Ему не понравилась идея.
I agree with his plan.	Я согласна с его планом.
What if the scheme doesn't work out?	А что, если этот план не сработает?
Don't say anything to Tom about what happened.	Не говори Тому ничего о случившемся.
He ran so he would get there on time.	Он бежал, чтобы успеть туда вовремя.
Why do you want to leave?	Почему вы хотите уйти?
He will stay in Tokyo for several weeks.	Он пробудет в Токио несколько недель.
I want to make you happy.	Я хочу сделать Вас счастливой.
They're stunned.	Они потрясены.
Buy low and sell high.	Покупай дёшево, а продавай дорого.
He is taller than his brother.	Он выше брата.
I like playing basketball.	Мне нравится играть в баскетбол.
Thank you for the beautiful flowers.	Спасибо за прекрасные цветы.
What time will you go home today?	Во сколько ты сегодня домой пойдёшь?
It was a nightmare.	Это был кошмар.
It is rumored that the firm is going to tie up with an American company.	Ходят слухи, что эта фирма собирается объединиться с какой-то американской компанией.
You can't make an omelet without breaking eggs.	Нельзя приготовить яичницу, не разбив яиц.
I can't blame them.	Я не могу их винить.
I arrived in Boston on Monday.	Я приехал в Бостон в понедельник.
Where's the closest bus stop?	Где ближайшая автобусная остановка?
I have no homework today.	Нам сегодня ничего не задали.
Would you like some more orange juice?	Хочешь ещё апельсинового сока?
I know where they're taking Tom.	Я знаю, куда они ведут Тома.
I told Tom you would come to Australia.	Я сказал Тому, что вы приедете в Австралию.
He is the happiest man on earth.	Он самый счастливый человек на Земле.
What brings you back to Boston?	Что привело вас обратно в Бостон?
I don't know how to contact you.	Я не знаю, как с вами связаться.
You need a shave.	Тебе нужно побриться.
Where are we going?	Куда идём?
I'm very grateful for everything you've done for me.	Я очень признателен за всё, что вы сделали для меня.
I like nobody and nobody likes me.	Я никого не люблю, и меня никто не любит.
Tom said that he saw the invisible man today.	Том сказал, что видел сегодня человека-невидимку.
I'm out here.	Я валю отсюда.
I've never been happier.	Я никогда не чувствовал себя счастливее.
Now sit down.	Теперь садитесь.
I don't think Tom can help us today.	Не думаю, что Том сможет нам сегодня помочь.
There is less time than I thought.	Времени меньше, чем я думал.
I got up too early.	Я слишком рано встал.
Don't you want to win?	Вы не хотите победить?
What do you think they want?	Как вы думаете, чего они хотят?
I'd tell you the same thing.	Я бы вам то же самое сказал.
I'm glad you're pleased.	Я рад, что вы довольны.
You're unlucky.	Тебе не везёт.
May I go first?	Можно мне пойти первой?
You don't want to talk to me, do you?	Вы не хотите со мной разговаривать, да?
Tom is dead wrong.	Том в корне неправ.
Tom was special.	Том был особенным.
Tom knew Mary would agree to do that.	Том знал, что Мэри согласится это сделать.
I didn't mean to confuse him.	Я не хотел смущать его.
Stop yelling. My head hurts.	Хватит орать. У меня голова болит.
Tom grew up in the Midwest.	Том вырос на Среднем Западе.
It seems to me that we should go now.	Мне кажется, нам пора идти.
Tom and his friends play poker almost every Friday night.	Том играет с друзьями в покер почти каждый вечер по пятницам.
You seem to be in love.	Ты, кажется, влюбился.
I'm a citizen of the world.	Я - гражданин мира.
Tom can't wait to get started.	Том не может дождаться, чтобы начать работать.
I was thinking about you.	Я думала о вас.
I had never seen it.	Я никогда его не видел.
It looks as if it might rain.	Похоже, может пойти дождь.
Tom has decided to agree to do that.	Том решил согласиться это сделать.
Who else ate with you?	Кто ещё с тобой ел?
How often do you travel?	Как часто Вы путешествуете?
People rose in revolt against the King.	Люди подняли восстание против короля.
I can't offer you anything in return.	Я ничего не могу предложить тебе взамен.
How many times must I tell you?	Сколько раз тебе повторять?
It's warm here all year round.	Здесь круглый год тепло.
I fell in love with Mary long before she even knew who I was.	Я влюбился в Мэри задолго до того, как она вообще узнала, кто я такой.
Are you certain that's what you want?	Ты уверен, что это то, чего ты хочешь?
I didn't ever expect to see Tom again.	Я и не ожидал, что снова увижу Тома.
A canal flowed between two rows of houses.	Между двумя рядами домов проходил канал.
I thought you said that Tom would do that.	Вы вроде говорили, что Том это сделает.
I've already seen one.	Я уже видел одного.
Tom didn't want to do that without you.	Том не хотел делать это без тебя.
You can't hate the guy.	Этого парня невозможно ненавидеть.
Tom has our support.	Мы поддерживаем Тома.
Keep them.	Храни их.
He has a Picasso.	У него есть картина Пикассо.
Tom has closed all the windows.	Том закрыл все окна.
She is a local government officer.	Она работник местного управления.
I'm playing football now.	Сейчас я играю в футбол.
Tom told me that he liked working with Mary.	Том сказал мне, что ему нравится работать с Мэри.
The ship dropped anchor.	Корабль бросил якорь.
Prove it to me.	Докажи мне это.
Tom didn't have to go to school.	Тому не пришлось идти в школу.
It obviously wasn't an accident.	Это был явно не несчастный случай.
Do you want to see something extraordinary?	Хочешь увидеть кое-что необыкновенное?
We must decide when to start.	Мы должны решить, когда начать.
I read his book.	Я читаю его книгу.
Tom has a white cat.	У Тома есть белый кот.
No one can protect you.	Никто не может тебя защитить.
I was lying to you.	Я тебе врал.
We don't have enough money to buy everything we need.	Нам не хватает денег, чтобы купить всё, что нам нужно.
You're a thief.	Ты вор.
That remains a major problem.	Это остаётся главной проблемой.
You need to tell me what you want me to do.	Ты должен сказать мне, что ты хочешь, чтобы я сделал.
Tom doesn't know what we did.	Том не знает, что он наделал.
Tom was in the room.	Том был в комнате.
I don't think anyone noticed what you were doing.	Не думаю, что кто-то заметил, что вы делаете.
I thought Tom needed help.	Я думал, Тому нужна помощь.
Would you take part in the project?	Желаете ли вы принять участие в проекте?
What did Tom say about me?	Что Том обо мне говорил?
Neither Tom nor Mary will do that.	Ни Том, ни Мэри не будут этого делать.
I have a business partner.	У меня есть партнёр по бизнесу.
Tom felt fine.	Том чувствовал себя нормально.
I've got a good reason not to like Tom.	У меня есть веская причина не любить Тома.
I'm a stuntman.	Я дублёр.
Could I borrow a saw?	Можно взять вашу пилу?
It's not going to be easy to decode.	Это будет нелегко расшифровать.
Tom didn't have a bicycle.	У Тома не было велосипеда.
A lot of people do that.	Многие это делают.
We need to finish this before Tom gets here.	Нам надо это закончить, пока Том не пришёл.
One man was seen digging with his bare hands.	Видели, как один человек рыл землю голыми руками.
I have a few dollars.	У меня есть несколько долларов.
This cover doesn't fit.	Это покрытие не подходит.
I promise not to tell Tom.	Я обещаю не говорить Тому.
Can we come, too?	Можно мы тоже придём?
I have no reason to believe that Tom won't do what I asked him to do.	У меня нет причины полагать, что Том не сделает то, что я попросил его сделать.
I've got a question for you about Tom.	У меня к тебе вопрос насчёт Тома.
Tell Tom I'm in a meeting.	Скажите Тому, что я на собрании.
What's the answer to my question?	Каков ответ на мой вопрос?
Could you give me some advice?	Ты не мог бы мне что-то посоветовать?
She didn't try to hide the truth.	Она не пыталась скрыть правду.
Which is stronger, a tiger or a lion?	Кто сильнее, тигр или лев?
I don't think that Tom knows what's bothering Mary.	Я не думаю, что Том знает, что беспокоит Мэри.
He has just published an interesting series of articles.	Он недавно опубликовал серию интересных статей.
How is that even possible?	Как это вообще возможно?
He gave it to me for nothing.	Он дал мне это просто так.
There's something that I want to tell you.	Я хочу вам кое-что рассказать.
They brush their teeth twice a day.	Они чистят зубы дважды в день.
There was no one in the shop to wait on me.	В магазине меня никто не ждал.
Tom sat next to me in church.	Том сидел рядом со мной в церкви.
Who did you go swimming with?	С кем ты ходила плавать?
Take precautions.	Примите меры предосторожности.
She's not penniless.	Она не бедствует.
How's your sister?	Как твоя сестра?
They read her book.	Они читали её книгу.
This is perfectly legal.	Это абсолютно законно.
I'd never have let that happen.	Я бы никогда этого не допустил.
We'll be working on that this week.	Мы будем работать над этим на этой неделе.
Tom is the only person who knows about this.	Том - единственный, кто об этом знает.
I didn't know I'd be busy this morning.	Я не знал, что сегодня утром буду занят.
Try to convince Tom to help us.	Постарайтесь убедить Тома нам помочь.
Who hired you?	Кто тебя нанял?
When did the robbery happen?	Когда произошло ограбление?
I assume you'll call me if you need anything else.	Я полагаю, ты позвонишь мне, если тебе ещё что-нибудь понадобится.
What a pain!	Какое горе.
Isn't Tom Canadian?	Разве Том не канадец?
Can you keep a secret?	Вам можно доверить секрет?
The law was changed.	Закон изменили.
If only I knew, I would tell you all that I knew.	Если б я только знал, то сказал бы тебе всё, что знал.
I took Tom to the hospital.	Я отвёз Тома в больницу.
I understood very well.	Я очень хорошо понял.
I knew they were your friends.	Я знал, что они твои подруги.
Tie Tom up with this piece of rope.	Свяжите Тома этим куском верёвки.
My greatest ambition is to be an opera singer.	Предел моих мечтаний — стать оперным певцом.
Tom doesn't know what we did.	Том не знает, что он сделал.
Can you read what's written on the blackboard?	Ты можешь прочитать, что написано на доске?
Despite language difficulties, we were soon friends.	Несмотря на языковой барьер, мы вскоре стали друзьями.
Tom can drive, can't he?	Том водить-то умеет?
I want you to listen to me very carefully.	Я хочу, чтобы ты очень внимательно меня выслушал.
It is cold there, even in summer.	Там холодно даже летом.
Careful! Watch out!	Осторожно! Берегись!
I'll support you.	Я вас поддержу.
Tom always forgets Mary's birthday.	Том всегда забывает про день рождения Мэри.
I had to resign.	Я был вынужден уйти в отставку.
Tom is gone.	Том ушёл.
How did it end?	Как это закончилось?
Tell Tom we're on our way.	Скажите Тому, что мы едем.
I'll do as you want.	Я сделаю, как вы хотите.
Some people started crying.	Некоторые начали плакать.
I don't wear a tie every day.	Я не каждый день ношу галстук.
Everyone admires the pictures painted by him.	Все восхищаются написанными им картинами.
I'm contented.	Я удовлетворён.
Have you registered yet?	Вы уже зарегистрировались?
"Where do you live? ""I live in Tokyo."""	«Где вы живёте?» — «Я живу в Токио».
Tom picked up the phone.	Том снял трубку.
Can you come tomorrow?	Вы можете прийти завтра?
Don't be cruel.	Не будьте жестокими.
Your parents know where you are.	Твои родители знают, где ты.
My parents let me go there.	Родители разрешили мне пойти туда.
I had no idea you collected stamps.	Я и не подозревал, что ты собираешь марки.
What do you think of this?	Как вам это?
It happened really fast.	Это произошло очень быстро.
This camera was made in Germany.	Этот фотоаппарат сделан в Германии.
He's completely crazy.	Он полный псих.
I don't think I'd like it.	Не думаю, что мне бы понравилось.
Do you need a car?	Вам нужна машина?
Tom said that he didn't think it would rain.	Том сказал, что не думает, что будет дождь.
Spanish is her native language.	Испанский — её родной язык.
I trusted you.	Я доверяла Вам.
It's very gratifying.	Это очень отрадно.
They were satisfied with the result.	Они были удовлетворены результатом.
I want you to teach Tom how to drive.	Я хочу, чтобы Вы поучили Тома водить.
Look what Tom got.	Смотрите, что Тому дали.
I try.	Я стараюсь.
This isn't news to anyone.	Это ни для кого не новость.
We need to speak to you.	Нам нужно с вами поговорить.
Tom and Mary are watching TV in the living room.	Том и Мэри смотрят телевизор в гостиной.
Tom and Mary have a horse.	У Тома и Мэри есть лошадь.
Tom is going to town.	Том едет в город.
This is a picture of Tom and Mary.	Это фотография Тома и Мэри.
That's my brother.	Это мой брат.
You were right about this.	Ты был прав насчёт этого.
There is no life without water.	Без воды нет жизни.
Tom now works at a bakery.	Том теперь работает в булочной.
I can hardly believe you're here.	Я с трудом могу поверить в то, что вы здесь.
Tom is a lot smarter than me.	Том намного умнее меня.
I want this luggage carried to my room at once.	Я хочу, чтобы этот багаж сейчас же был отнесён в мою комнату.
The train left.	Поезд ушёл.
Take a good look.	Посмотри внимательно.
Let's leave tonight.	Давай сегодня вечером поедем.
I came to thank you.	Я пришёл вас поблагодарить.
You can always quit the job.	Ты всегда можешь уйти с работы.
When you're my age, you'll understand.	Когда доживёте до моих лет, поймёте.
You believe me, don't you?	Ты ведь мне веришь?
I know it's wrong.	Я знаю, что это плохо.
Nobody lives forever.	Никто не живёт вечно.
I sang for Tom.	Я спел Тому.
I wonder if they have a rope ladder.	Интересно, есть ли у них верёвочная лестница.
Call the number I gave you.	Позвоните по номеру, который я вам дал.
The box has holes in it.	В коробке отверстия.
You have to see it.	Вам надо её увидеть.
They granted his request.	Они выполнили его просьбу.
Look, I know you're busy.	Слушай, я знаю, что ты занят.
Why is that ridiculous?	Почему это нелепо?
Don't you want to know who that man is?	Вы не хотите знать, кто тот человек?
Tom was born with a silver spoon in his mouth.	Том родился с серебряной ложкой во рту.
Tom wouldn't let us in.	Том бы нас не впустил.
She catches colds easily.	Она легко простужается.
I wasn't surprised when Tom told me you didn't have to do that.	Я не удивился, когда Том сказал мне, что тебе необязательно это делать.
I think I could do that.	Думаю, я мог бы это сделать.
We're buying this place.	Мы покупаем это место.
How many times has Tom gone camping?	Сколько раз Том ходил в поход?
Would $300 help?	Триста долларов помогли бы?
Tom acted the part of a sailor.	Том исполнял роль моряка.
Everything he's saying is slander.	Всё, что он говорит, - клевета.
He died an unnatural death.	Он умер неестественной смертью.
While you are asleep, the bodily functions slow down and body temperature falls.	Пока вы спите, ваши жизненные функции замедляются, а температура тела падает.
Tom says he knows how difficult it'll be to do that.	Том говорит, что знает, как трудно это будет сделать.
Tom must be hungry.	Том-то голодный небось.
We'll share.	Мы поделимся.
Everything here is covered in dust.	Всё здесь покрыто пылью.
Are you sure that man is a doctor?	Ты уверен, что тот человек — врач?
I'm not a student.	Я не ученик.
Tom passed away three days ago.	Тома не стало три дня назад.
I hate that book.	Я ненавижу эту книгу.
Please don't tell anybody.	Не говорите никому, пожалуйста.
I thought I told you to do that today.	Я вроде говорил вам, чтобы вы сделали это сегодня.
Tom is always forgetting things.	Том постоянно что-то забывает.
You don't have to explain it to me.	Ты не обязан мне объяснять.
Yours was better than mine.	Ваше было лучше, чем моё.
Tom doesn't know when Mary will visit Boston.	Том не знает, когда Мэри посетит Бостон.
I love downtown Boston.	Я люблю деловую часть Бостона.
I hope that they're OK.	Надеюсь, у них всё в порядке.
Should we intervene?	Нам вмешаться?
Where are they?	Где они?
I don't think you're being honest.	Я не думаю, что ты честен.
Tom said he knew the rules.	Том сказал, что знает правила.
Tom said that he was satisfied.	Том сказал, что доволен.
Can you wait a minute?	Можешь подождать минутку?
I've already drunk half a bottle of wine while I was waiting for you.	Я уже полбутылки вина выпил, пока вас ждал.
You should take a vacation.	Тебе надо бы взять отпуск.
Do you want me to call a doctor?	Ты хочешь, чтобы я вызвала врача?
I'd like to speak to you in private.	Я хотел бы поговорить с Вами наедине.
Tom seems to be dissatisfied.	Том выглядит недовольным.
Don't worry. I can fix it.	Не беспокойтесь! Я могу это починить.
Do you believe what Tom told us?	Вы верите тому, что Том нам рассказал?
I'm talking about Tom.	Я говорю о Томе.
I don't want to be the one who breaks the news to her.	Я не хочу быть тем, кто сообщит ей это известие.
Maybe Tom can help you.	Возможно, Том может тебе помочь.
You'll miss the train.	Вы на поезд опоздаете.
Do you think Tom lied to us?	Думаешь, Том нам соврал?
I didn't realize that Tom wanted me to do that for him.	Я не понял, что Том хотел от меня, чтобы я это для него сделал.
It can be cold here even in May.	Здесь может быть холодно даже в мае.
His long speech bored us all.	Его длинная речь утомила всех нас.
It's probably just my imagination.	Возможно, это только моё воображение.
He's married to an American woman.	Он женат на американке.
Tom added wood to the fire.	Том подкинул дров в огонь.
I was eating a sandwich.	Я ел бутерброд.
I didn't know where to begin.	Я не знал, с чего начать.
Tom told me not to tell Mary about what happened.	Том велел мне не говорить о случившемся Мэри.
This vase has been sitting on the shelf for years.	Эта ваза уже годами стоит здесь на полке.
When Tom opened the door, he saw Mary standing there with a six-pack and a pizza.	Когда Том открыл дверь, он увидел, что Мэри стояла там с шестью банками пива и пиццей.
Tom's upset.	Том расстроен.
This is your newspaper.	Вот ваша газета.
Are you mad at me?	Ты злишься на меня?
I didn't even know you had a girlfriend.	Я даже не знал, что у тебя есть девушка.
I was stupid to trust you.	С моей стороны было глупо тебе доверять.
I must say I'm a bit disappointed.	Должна сказать, я немного разочарована.
Tom doesn't let his children drink wine.	Том не разрешает своим детям пить вино.
A car is faster than a bicycle.	Машина быстрее велосипеда.
I thought you were a teacher.	Я думала, Вы учитель.
Why tell me this?	Зачем мне это рассказывать?
I was very happy for Tom.	Я был очень рад за Тома.
I wonder if Tom can hear us.	Я хочу знать, может ли Том нас слышать.
Tom told me that he was free.	Том сказал мне, что он свободен.
You're the only one who understands me.	Вы единственная, кто меня понимает.
I told you to be home by midnight.	Я говорила тебе, чтобы к двенадцати был дома.
I never called Tom back.	Я так и не перезвонил Тому.
Wait. What did you just say?	Стой. Ты что только что сказал?
You know nothing about me.	Ты ничего не знаешь обо мне.
I don't think that's necessary.	Я не думаю, что это необходимо.
Did you find the book interesting?	Вам эта книга показалась интересной?
You always were a good cook.	Ты всегда хорошо готовила.
There were a lot of people on the beach.	На пляже было полно народу.
I was laughed at in school today.	Сегодня в школе надо мной смеялись.
Call me the minute your train pulls in.	Позвоните мне, как только ваш поезд прибудет на станцию.
What's the fastest way to get there from here?	Какой самый быстрый способ добраться отсюда дотуда?
I don't think that I'd be able to do that without your help.	Не думаю, что смог бы сделать это без вашей помощи.
I didn't kill anybody.	Я никого не убил.
It may rain tonight.	Сегодня вечером может пойти дождь.
Why don't we eat together?	Почему бы нам не поесть вместе?
I'll wait at the bus stop.	Я подожду на автобусной остановке.
Tom saved everybody.	Том всех спас.
I've heard that.	Я это слышал.
I prefer to go by bicycle.	Я лучше поеду на велосипеде.
It isn't that windy today.	Сегодня не так ветрено.
At first, it is difficult.	Поначалу это сложно.
I was Mr. Jackson's student.	Я была студенткой господина Джексона.
Please just give it to me.	Просто дай мне это, пожалуйста.
His bad leg prevented him from winning the race.	Больная нога не позволила ему выиграть забег.
She wanted to help them.	Она хотела им помочь.
What did you just say to Tom?	Что ты только что сказала Тому?
Tom waited for us.	Том подождал нас.
He went out for a walk with his dog.	Он вышел погулять с собакой.
Tom doesn't care whether we stay or not.	Тому всё равно, останемся мы или нет.
I appreciate your directness.	Я ценю вашу прямоту.
Let's open all the windows.	Давай откроем все окна.
We have great news.	У нас отличные новости.
I've forgiven you.	Я вас простил.
His new record sells well.	Его новая запись хорошо продаётся.
I'll only be staying a few days.	Я останусь только на несколько дней.
Don't forget your money.	Не забудь деньги.
He kept calm in the face of the danger.	Он сохранял спокойствие перед лицом опасности.
Tom told everyone that I didn't want to go.	Том всем сказал, что я не хочу ехать.
I've told you not to call me, Tom.	Том, я же сказал, чтобы ты мне не звонил.
You know Tom can't do that.	Ты знаешь, что Том не может этого сделать.
Tom didn't want to get married, but his parents forced him to.	Том не хотел жениться, но родители его заставили.
You don't look very well. Are you sick?	Плохо выглядишь. Ты не заболел?
I'm not sure that's true.	Я не уверен, что это так.
Is that all you've got to say?	Это всё, что у Вас есть сказать?
I never really thought I'd live this long.	Никогда не думал, что столько проживу.
I got up an hour later than usual this morning.	Сегодня утром я встала на час позже обычного.
Can you stay till 2:30?	Ты можешь задержаться до половины третьего?
